SUMLEV,REGION,DIVISION,STATE,NAME,ALLWATER2013,SURFACEWATER2013,GROUNDWATER2013,PUBLICWATER2013,AVERAGEWATER2013,ALLWATER2012,SURFACEWATER2012,GROUNDWATER2012,PUBLICWATER2012,AVERAGEWATER2012,ALLWATER2011,SURFACEWATER2011,GROUNDWATER2011,PUBLICWATER2011,AVERAGEWATER2011,ALLWATER2010,SURFACEWATER2010,GROUNDWATER2010,PUBLICWATER2010,AVERAGEWATER2010,ALLWATER2009,SURFACEWATER2009,GROUNDWATER2009,PUBLICWATER2009,AVERAGEWATER2009,ALLWATER2008,SURFACEWATER2008,GROUNDWATER2008,PUBLICWATER2008,AVERAGEWATER2008,ALLWATER2007,SURFACEWATER2007,GROUNDWATER2007,PUBLICWATER2007,AVERAGEWATER2007,ALLWATER2006,SURFACEWATER2006,GROUNDWATER2006,PUBLICWATER2006,AVERAGEWATER2006,ALLWATER2005,SURFACEWATER2005,GROUNDWATER2005,PUBLICWATER2005,AVERAGEWATER2005,ALLWATER2004,SURFACEWATER2004,GROUNDWATER2004,PUBLICWATER2004,AVERAGEWATER2004
40,2,3,17,shanxi2,353.78,331.47,118.52,96.22,941.26,390.49,367.96,130.19,107.66,1041.91,604.42,575.51,164.27,135.36,1616.56,507.5,482.5,142.9,117.9,1360.3,416.49,393.66,132.39,109.56,1105.63,304,285,107.6,88.6,809.59,377.03,349.59,136.79,109.35,1007.71,275.51,246.26,112.14,82.89,739.12,490.59,468.24,135.29,112.94,1322.7,309.41,286.1,111.65,88.34,835.13
40,2,3,18,shanxi,126.55,81.05,96.87,51.37,349.55,106.25,65.9,88.34,47.99,294.98,124.34,76.65,94.95,47.27,346.96,91.5,52.8,77.4,38.7,261.5,85.76,47.67,76.15,38.06,250.83,87.4,51.3,78.9,42.8,256.91,103.4,65.26,86.33,48.19,305.56,88.52,53.62,74.06,39.16,263.06,84.13,50.37,72.51,38.75,251.51,92.51,58.1,75.1,40.69,277.39
40,2,4,19,hubei,175.86,76.83,138.82,39.79,240.57,813.88,783.76,262.77,232.65,1410.97,757.54,725.41,251.91,219.79,1319.13,1268.7,1239.1,306.1,276.5,2216.5,825.28,794.45,263.45,232.61,1443.94,1033.9,1003.7,282,251.8,1812.27,1015.06,984.11,282.82,251.87,1782.05,639.69,608.93,221.51,190.75,1121.96,933.96,903.58,276.15,245.77,1640.6,926.36,894.56,276.68,244.88,1539.83
40,2,4,20,hunan,1581.97,1574.34,382.11,374.49,2373.56,1988.94,1981.31,417.92,410.29,3005.68,1126.94,1120.74,279.85,273.63,1711.93,1906.6,1899.4,430,422.8,2938.7,1400.47,1393.78,351.74,345.05,2190.63,1600,1593.1,386.2,379.4,2512.76,1426.55,1419.34,350.38,343.17,2247.07,1770.29,1763.38,400.37,393.46,2794.9,1671.04,1664.49,393.16,386.61,2649.5,1641.28,1634.23,389.5,382.45,2450.41
40,6,6,21,sichuan,2470.27,2469.12,607.5,606.35,3052.88,2892.36,2891.21,614.91,613.76,3587.16,2239.49,2238.34,578.2,577.05,2782.85,2575.3,2573.7,595,593.4,3173.5,2332.16,2330.56,579.99,578.39,2857.51,2489.9,2488.3,598.2,596.6,3061.67,2299.84,2298.24,584.36,582.76,2822.58,1865.84,1864.24,534.62,533.02,2278.05,2922.58,2920.98,590.05,588.45,3569.6,2434.17,2432.57,582.94,581.34,2789.87
40,6,7,22,yunnan,1706.69,1706.69,573.29,573.29,3652.24,1689.77,1689.77,583.22,583.22,3637.91,1480.2,1480.2,548.06,548.06,3206.53,1941.4,1941.4,686,686,4233.1,1576.6,1576.6,582.64,582.64,3459.73,2314.5,2314.5,801.6,801.6,5110.96,2255.52,2255.52,794.62,794.62,5013.94,1711.67,1711.67,614.95,614.95,3832.25,1846.43,1846.43,660.37,660.37,4161.7,2106.3,2106.3,719.81,719.81,4770.78
40,2,1,23,hebei,175.86,76.83,138.82,39.79,240.57,235.53,117.76,164.84,47.07,324.24,157.15,69.84,126.21,38.9,217.75,138.9,56.6,112.9,30.6,195.3,141.16,47.54,122.7,29.08,201.32,161,62.4,136.3,37.7,231.12,119.79,38.99,107.24,26.44,173.09,107.34,42.1,94.25,29.01,156.14,134.57,58.01,109.73,33.17,197,154.24,61.32,131.06,38.14,226.52
40,2,3,24,henan,213.07,123.13,147.12,57.19,226.44,265.54,172.65,161.82,68.94,282.58,327.97,222.47,191.8,86.3,349.03,534.9,415.7,214.7,95.5,566.2,328.77,208.3,188.05,67.58,347.61,371.3,259.1,188.3,76.1,395.23,465.18,348.72,202.98,86.52,496.14,321.78,214.54,183.22,75.98,342.83,558.52,435.92,219.74,97.14,597.22,406.59,289.68,200.65,83.74,418.43
40,2,2,25,liaoning,463.17,420.26,139.38,96.48,1055.17,547.3,492.42,147.36,92.49,1247.83,294.79,260.5,111.9,77.61,673.2,606.7,554,146.8,94.1,1392.1,170.96,137.98,87.61,54.6,396.02,266,226.8,105.4,66.2,617.67,261.72,231.94,93.35,63.57,610.85,261.36,233.94,91.59,64.17,615.54,377.2,336.3,130.2,89.3,896.3,285.65,248.66,109.6,72.6,677.37
40,2,3,26,shandong,291.7,191.07,172.32,71.68,300.45,274.3,182.17,164.24,72.14,283.93,347.63,237.5,195.92,85.78,361.65,309.1,199.1,181.2,71.2,324.4,284.95,173.8,180.71,69.55,301.75,328.7,229,180.6,80.8,349.98,387.11,280.19,197.95,91.03,414.56,199.32,109.56,146.29,56.53,214.82,415.86,295.85,213.89,93.88,451.04,349.48,234.53,193.11,78.16,380.69
40,2,2,27,tianjin,14.64,10.8,5.01,1.17,101.49,32.94,26.54,7.62,1.22,237.99,15.39,10.89,5.23,0.73,115.96,9.2,5.6,4.5,0.8,72.8,15.24,10.59,5.6,0.95,126.79,18.3,13.6,5.9,1.2,159.76,11.31,7.5,4.76,0.95,103.29,10.11,6.62,4.43,0.94,95.47,10.63,7.13,4.45,0.95,102.21,14.31,9.79,5.16,0.63,139.74
40,2,2,28,jiangxi,1423.99,1405.29,378.37,359.67,3155.33,2174.36,2155.79,462.28,443.71,4836.01,1037.88,1018.94,315.23,296.28,2319.11,1484.31,1484.31,256.84,256.84,3069.3,1166.91,1144.67,312.89,290.65,2642.46,1356.2,1335.7,370.3,349.8,3093.52,1112.96,1093.91,310.36,291.31,2556.47,1629.97,1610.4,396.23,376.66,3768.72,1510.1,1490.25,385.08,365.23,3513.2,1034.63,1016.51,279.45,261.33,2415.1
40,2,3,29,jiangsu,283.53,202.32,97.2,15.99,357.56,373.33,279.14,110.17,15.99,472.01,492.4,398.96,115.13,21.69,624.55,383.5,291.2,108.9,16.6,489.2,400.31,306.05,110.8,16.54,519.82,378,280.9,111.3,14.2,494.05,495.71,395.71,123.27,23.27,653.32,404.4,314.7,110.73,21.03,538.3,466.96,366.38,122.23,21.65,626.6,204.02,132.43,90.97,19.38,274.48
40,1,2,30,shanghai,28.03,22.77,8.21,2.95,116.9,33.9,27.35,9.74,3.19,143.4,20.72,16.23,7.43,2.94,89.12,36.8,30.9,8.9,3,163.1,41.57,34.6,9.92,2.95,218.28,37,30,10.2,3.3,197.54,34.5,27.96,9.81,3.27,187.86,27.64,27.64,9.45,9.45,153.85,24.47,24.47,9.29,9.29,138.01,24.98,24.98,9.29,9.29,143.39
40,2,3,31,zhejiang,931.34,917.3,207.33,193.29,1697.2,1444.79,1427.15,273.47,255.83,2641.29,744.96,733.31,184.15,172.5,1365.71,1398.6,1382.9,264.7,249.1,2608.7,931.35,917.4,208.01,194.06,1808.45,855.2,839.9,198.1,182.8,1680.16,892.15,876.72,204.13,188.7,1777.19,903.59,889.41,204.36,190.18,1829.49,1014.35,999.36,216.08,201.09,2077.2,675.67,662.19,182.96,169.48,1431.5
40,2,2,32,jilin,607.4,535.2,160.2,88,2208.17,460.47,387.33,146.98,73.84,1674.49,315.89,262.88,112.91,59.9,1149.52,686.7,622.1,141.9,77.3,2503.3,298.04,252.81,97.25,52.02,1088.93,332,276.6,99.6,44.2,1215.23,346.04,301.54,86.31,41.81,1269.17,353.63,298.44,104.63,49.44,1300.35,559.66,489.56,122.45,52.35,2066.8,323.71,278.44,94.37,49.1,1194.94
40,8,9,33,neimenggu,959.81,813.52,249.33,103.04,3848.6,510.25,349.24,258.38,97.36,2052.68,419,298.16,213.37,92.53,1691.59,388.5,253.4,227.6,92.5,1576.1,378.15,263.36,214.35,99.57,1563.88,412.1,274.8,235.1,97.9,1710.31,295.86,183.03,206.88,94.04,1232.25,411.29,294.33,213.56,96.6,1719.8,456.18,338.69,214.64,97.15,1917.3,437.6,310.23,222.57,95.19,1835.59
40,6,5,34,heilongjiang,1419.58,1253.3,381.51,215.23,3702.13,841.41,695.69,289.81,144.08,2194.61,629.48,512.51,237.24,120.27,1641.97,853.5,725.2,277.9,149.6,2228.6,989.61,845.59,313.45,169.43,2586.87,462,341.9,247.8,127.7,1208,491.85,374.07,232.79,115.02,1286.38,727.93,602.24,279.25,153.56,1904.83,744.27,611.97,288.78,156.48,1954.2,652.14,530.6,273.69,152.15,1708.51
