SUMLEV,REGION,DIVISION,STATE,NAME,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,NPOPCHG_2010,NPOPCHG_2011,BIRTHS2010,BIRTHS2011,DEATHS2010,DEATHS2011,NATURALINC2010,NATURALINC2011,INTERNATIONALMIG2010,INTERNATIONALMIG2011,DOMESTICMIG2010,DOMESTICMIG2011,NETMIG2010,NETMIG2011,RESIDUAL2010,RESIDUAL2011,RBIRTH2011,RDEATH2011,RNATURALINC2011,RINTERNATIONALMIG2011,RDOMESTICMIG2011,RNETMIG2011
40,3,5,24,Maryland,5773552,5773552,5785681,5828289,12129,42608,18102,72995,10563,43606,7539,29389,4493,16435,130,-3124,4623,13311,-33,-92,12.5702064,7.509232416,5.060973982,2.830212236,-0.537972803,2.292239432
40,4,8,49,Utah,2763885,2763885,2775479,2817222,11594,41743,13153,52003,3420,14314,9733,37689,1402,5336,423,-1249,1825,4087,36,-33,18.59673886,5.118814684,13.47792417,1.908201422,-0.446653594,1.461547828
